PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
21541969,,Yes,,Elevated GnRH receptor expression plus GnRH agonist treatment inhibits the growth of a subset of papillomavirus 18-immortalized human prostate cells.,,,,,
21557262,,No,,Proteomic identification of exosomal LRG1: a potential urinary biomarker for detecting NSCLC.,,,,,
21574092,,NA,,A combination of exosomes carrying TSA derived from HLA-A2-positive human white buffy coat and polyI:C for use as a subcellular antitumor vaccination.,,,,,
21595033,,NA,,Proteomic analysis of urinary exosomes from patients of early IgA nephropathy and thin basement membrane nephropathy.,,,,,
21601258,,NA,,Loss of EpCAM expression in breast cancer derived serum exosomes: role of proteolytic cleavage.,,,,,
21630268,,NA,,Role of exosomes released by chronic myelogenous leukemia cells in angiogenesis.,,,,,
21635979,,NA,,Proteomic characterization of thymocyte-derived microvesicles and apoptotic bodies in BALB/c mice.,,,,,
21638509,,Yes,,Prostasomal DNA characterization and transfer into human sperm.,,,,,
21642241,,NA,,Increased microRNA-1 and microRNA-133a levels in serum of patients with cardiovascular disease indicate myocardial damage.,,,,,
21651777,,NA,,Body fluid derived exosomes as a novel template for clinical diagnostics.,,,,,
21721029,,Yes,,Intercellular nanovesicle-mediated microRNA transfer: a mechanism of environmental modulation of hepatocellular cancer cell growth.,,,,,
21734072,,NA,,Insulinoma-released exosomes or microparticles are immunostimulatory and can activate autoreactive T cells spontaneously developed in nonobese diabetic mice.,,,,,
21741384,,NA,,A filtration-based protocol to isolate human plasma membrane-derived vesicles and exosomes from blood plasma.,,,,,
21768396,,NA,,Cutting edge: HLA-DO impairs the incorporation of HLA-DM into exosomes.,,,,,
21778410,,NA,,Quantitative proteomics and dynamic imaging of the nucleolus reveal distinct responses to UV and ionizing radiation.,,,,,
21789232,,NA,,Exosome-producing follicle associated epithelium is not involved in uptake of PrPd from the gut of sheep (Ovis aries): an ultrastructural study.,,,,,
21799736,,Yes,,Nanovesicles from Malassezia sympodialis and host exosomes induce cytokine responses--novel mechanisms for host-microbe interactions in atopic eczema.,,,,,
21814169,,NA,,Renal tubular dysfunction in patients with American cutaneous leishmaniasis.,,,,,
21829629,,NA,,Tumor-derived exosomes confer antigen-specific immunosuppression in a murine delayed-type hypersensitivity model.,,,,,
21846196,,NA,,Induction of a tumour-specific CTL response by exosomes isolated from heat-treated malignant ascites of gastric cancer patients.,,,,,
21855666,,No,,Viral miRNAs exploiting the endosomal-exosomal pathway for intercellular cross-talk and immune evasion.,,,,,
21892318,,NA,,Exvivo experiments of human ovarian cancer ascites-derived exosomes presented by dendritic cells derived from umbilical cord blood for immunotherapy treatment.,,,,,
21898221,,NA,,"Isolation of exosomes for subsequent mRNA, MicroRNA, and protein profiling.",,,,,
21901833,,NA,,Proteomics analyses of microvesicles released by Drosophila Kc167 and S2 cells.,,,,,
21915303,,Yes,,Detachment of breast tumor cells induces rapid secretion of exosomes which subsequently mediate cellular adhesion and spreading.,,,,,
21932222,,No,,Exosome nanotechnology: an emerging paradigm shift in drug delivery: exploitation of exosome nanovesicles for systemic in vivo delivery of RNAi heralds new horizons for drug delivery across biological barriers.,,,,,
21981726,,NA,,Validation of flow cytometric detection of platelet microparticles and liposomes by atomic force microscopy.,,,,,
22021705,,NA,,"Epitope-tagged Pkhd1 tracks the processing, secretion, and localization of fibrocystin.",,,,,
22022385,,NA,,EBV-gp350 confers B-cell tropism to tailored exosomes and is a neo-antigen in normal and malignant B cells--a new option for the treatment of B-CLL.,,,,,
22025668,,NA,,Exosomal transmission of functional aquaporin 2 in kidney cortical collecting duct cells.,,,,,
22031862,,Yes,,Mechanism of transfer of functional microRNAs between mouse dendritic cells via exosomes.,,,,,
22044191,,NA,,MHC class I dimer formation by alteration of the cellular redox environment and induction of apoptosis.,,,,,
22045359,,No,,Tumor-derived exosomes as mediators of disease and potential diagnostic biomarkers.,,,,,
22046311,,NA,,Exosomes from Plasmodium yoelii-infected reticulocytes protect mice from lethal infections.,,,,,
22057275,,NA,,Exosome-associated tau is secreted in tauopathy models and is selectively phosphorylated in cerebrospinal fluid in early Alzheimer disease.,,,,,
22067905,,Yes,,Tumor cell cross talk with tumor-associated leukocytes leads to induction of tumor exosomal fibronectin and promotes tumor progression.,,,,,
22076591,,NA,,Urinary exosomal WT1 in childhood nephrotic syndrome.,,,,,
22116803,,NA,,Cell-secreted vesicles in equine ovarian follicular fluid contain miRNAs and proteins: a possible new form of cell communication within the ovarian follicle.,,,,,
22129587,,NA,,Bovine milk exosome proteome.,,,,,
22144073,,Yes,,Exosomes as extrapulmonary signaling conveyors for nanoparticle-induced systemic immune activation.,,,,,
22198713,,NA,,Hepatic cell-to-cell transmission of small silencing RNA can extend the therapeutic reach of RNA interference (RNAi).,,,,,
22203239,,Yes,,Exosomes released by K562 chronic myeloid leukemia cells promote angiogenesis in a Src-dependent fashion.,,,,,
22211110,,NA,,Immune-related microRNAs are abundant in breast milk exosomes.,,,,,
22221959,,NA,,Identification and proteomic profiling of exosomes in human cerebrospinal fluid.,,,,,
22236307,,No,,Blood-borne macrophage-neural cell interactions hitchhike on endosome networks for cell-based nanozyme brain delivery.,,,,,
22285593,,NA,,"Comparison of ultracentrifugation, density gradient separation, and immunoaffinity capture methods for isolating human colon cancer cell line LIM1863-derived exosomes.",,,,,
22303391,,Yes,,Unraveling the Mystery of Cancer by Secretory microRNA: Horizontal microRNA Transfer between Living Cells.,,,,,
22313335,,NA,,Luminal decoration of blood vessels by activated perivasal mast cells in allergic rhinitis.,,,,,
22314290,,No,,Microvesicle-associated AAV vector as a novel gene delivery system.,,,,,
22348503,,NA,,Nanoparticle tracking analysis monitors microvesicle and exosome secretion from immune cells.,,,,,
22354026,,NA,,"Induction of protective immunity against Eimeria tenella, Eimeria maxima, and Eimeria acervulina infections using dendritic cell-derived exosomes.",,,,,
22399603,,NA,,Proteomic analysis of exosome-like vesicles derived from breast cancer cells.,,,,,
22402490,,NA,,Air2p is critical for the assembly and RNA-binding of the TRAMP complex and the KOW domain of Mtr4p is crucial for exosome activation.,,,,,
22418980,,No,,A multiplex quantitative proteomics strategy for protein biomarker studies in urinary exosomes.,,,,,
22424315,,NA,,Importance of RNA isolation methods for analysis of exosomal RNA: evaluation of different methods.,,,,,
22427800,,NA,,The majority of microRNAs detectable in serum and saliva is concentrated in exosomes.,,,,,
22446542,,NA,,Secretion of αB-Crystallin via exosomes: New clues to the function of human retinal pigment epithelium.,,,,,
22470417,,NA,,Circulating hepatitis B surface antigen particles carry hepatocellular microRNAs.,,,,,
22484292,,NA,,Novel CD8+ T cell-based vaccine stimulates Gp120-specific CTL responses leading to therapeutic and long-term immunity in transgenic HLA-A2 mice.,,,,,
22496370,,Yes,,Paired helical filaments from Alzheimer disease brain induce intracellular accumulation of Tau protein in aggresomes.,,,,,
22506041,,NA,,Cardiomyocyte microvesicles contain DNA/RNA and convey biological messages to target cells.,,,,,
22506888,,No,,Exosomal RNA as biomarkers and the therapeutic potential of exosome vectors.,,,,,
22532571,,NA,,Astrocytes secrete exosomes enriched with proapoptotic ceramide and prostate apoptosis response 4 (PAR-4): potential mechanism of apoptosis induction in Alzheimer disease (AD).,,,,,
22554680,,Yes,,Membrane transfer from oocyte to sperm occurs in two CD9-independent ways that do not supply the fertilising ability of Cd9-deleted oocytes.,,,,,
22557979,,NA,,Emerging roles of exosomes in neuron-glia communication.,,,,,
22559272,,NA,,"Exosome-delivered microRNAs of ""chromosome 19 microRNA cluster"" as immunomodulators in pregnancy and tumorigenesis.",,,,,
22563321,,Yes,,Exosomes: vehicles for the transfer of toxic proteins associated with neurodegenerative diseases?,,,,,
22566856,,NA,,Microparticles as immune regulators in infectious disease - an opinion.,,,,,
22566928,,NA,,Mast cell synapses and exosomes: membrane contacts for information exchange.,,,,,
22574859,,NA,,"The myxovirus-resistance protein, MX1, is a component of exosomes secreted by uterine epithelial cells.",,,,,
22581926,,NA,,Sonic hedgehog-modified human CD34+ cells preserve cardiac function after acute myocardial infarction.,,,,,
22585423,,NA,,Exosomes in Cancer Microenvironment and Beyond: have we Overlooked these Extracellular Messengers?,,,,,
22585706,,NA,,Plasma-derived MHC class II+ exosomes from tumor-bearing mice suppress tumor antigen-specific immune responses.,,,,,
22605481,,Yes,,Exosome-mediated transfer of miR-133b from multipotent mesenchymal stromal cells to neural cells contributes to neurite outgrowth.,,,,,
22612287,,NA,,Possible role of exosomes containing RNA in mediating nontargeted effect of ionizing radiation.,,,,,
22635005,,NA,,Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET.,,,,,
22643973,,NA,,Validation of a novel secretion modification region (SMR) of HIV-1 Nef using cohort sequence analysis and molecular modeling.,,,,,
22654762,,NA,,Emerging role of neuronal exosomes in the central nervous system.,,,,,
22674628,,Yes,,Nanoparticle-induced exosomes target antigen-presenting cells to initiate Th1-type immune activation.,,,,,
22691960,,NA,,Nanoparticle analysis of circulating cell-derived vesicles in ovarian cancer patients.,,,,,
22707941,,Yes,,Transfer of vesicles from schwann cells to axons: a novel mechanism of communication in the peripheral nervous system.,,,,,
22711894,,NA,,Biochemical and biologic characterization of exosomes and microvesicles as facilitators of HIV-1 infection in macrophages.,,,,,
22723519,,NA,,Exosomes isolated from mycobacteria-infected mice or cultured macrophages can recruit and activate immune cells in vitro and in vivo.,,,,,
22728313,,NA,,Toward tailored exosomes: the exosomal tetraspanin web contributes to target cell selection.,,,,,
22733780,,NA,,Mapping the HLA-DO/HLA-DM complex by FRET and mutagenesis.,,,,,
22740476,,Yes,,Restoration of full-length APC protein in SW480 colon cancer cells induces exosome-mediated secretion of DKK-4.,,,,,
22753494,,Yes,,MicroRNAs bind to Toll-like receptors to induce prometastatic inflammatory response.,,,,,
22767229,,Yes,,Prion-infected cells regulate the release of exosomes with distinct ultrastructural features.,,,,,
22783199,,NA,,Potential contribution of exosomes to the prion-like propagation of lesions in Alzheimer's disease.,,,,,
22785357,,NA,,Comparison of methods for isolating exosomes from bovine milk.,,,,,
22797057,,NA,,Leukemia cell to endothelial cell communication via exosomal miRNAs.,,,,,
22828416,,NA,,Tissue factor-bearing exosome secretion from human mechanically stimulated bronchial epithelial cells in vitro and in vivo.,,,,,
22842014,,NA,,"Effects of subtoxic concentrations of TiO2 and ZnO nanoparticles on human lymphocytes, dendritic cells and exosome production.",,,,,
22851731,,No,,The phosphorylated sodium chloride cotransporter in urinary exosomes is superior to prostasin as a marker for aldosteronism.,,,,,
22853036,,NA,,The ribonuclease Dis3 is an essential regulator of the developmental transcriptome.,,,,,
22895844,,Yes,,"Exosomes secreted from human colorectal cancer cell lines contain mRNAs, microRNAs and natural antisense RNAs, that can transfer into the human hepatoma HepG2 and lung cancer A549 cell lines.",,,,,
22904309,,NA,,Immune surveillance properties of human NK cell-derived exosomes.,,,,,
22912365,,NA,,Exosomal secretion of death bullets: a new way of apoptotic escape?,,,,,
22921780,,NA,,A translational study of urine miRNAs in acute myocardial infarction.,,,,,
22932723,,Yes,,Exosome-mediated shuttling of microRNA-29 regulates HIV Tat and morphine-mediated neuronal dysfunction.,,,,,
22937080,,NA,,Lactation-related microRNA expression profiles of porcine breast milk exosomes.,,,,,
22952868,,NA,,Tolerance induction by exosomes from immature dendritic cells and rapamycin in a mouse cardiac allograft model.,,,,,
22965126,,NA,,Small RNA deep sequencing reveals a distinct miRNA signature released in exosomes from prion-infected neuronal cells.,,,,,
22973237,,NA,,Alternative methods for characterization of extracellular vesicles.,,,,,
22973239,,NA,,Mesenchymal stem cell secreted vesicles provide novel opportunities in (stem) cell-free therapy.,,,,,
22982408,,NA,,Profiling of microRNAs in exosomes released from PC-3 prostate cancer cells.,,,,,
22998595,,Yes,,Hypoxic enhancement of exosome release by breast cancer cells.,,,,,
22999499,,Yes,,The endogenous retroviral envelope protein syncytin-1 inhibits LPS/PHA-stimulated cytokine responses in human blood and is sorted into placental exosomes.,,,,,
